n,input,encoder_staircase,dm_bit,decoder_staircase,decoder_filtered,error
551,5039,4992,1,4736,1776,47
552,5039,5120,1,4864,1872,-81
553,5196,4992,0,4992,1969,204
554,5196,5120,1,4864,2059,76
555,5350,5248,1,4992,2150,102
556,5350,5376,1,5120,2242,-26
557,5501,5248,0,5248,2335,253
558,5501,5376,1,5120,2422,125
559,5648,5504,1,5248,2510,144
560,5648,5632,1,5376,2599,16
561,5792,5760,1,5504,2689,32
562,5792,5888,1,5632,2780,-96
563,5932,5760,0,5760,2873,172
564,5932,5888,1,5632,2959,44
565,6069,6016,1,5760,3046,53
566,6069,6144,1,5888,3134,-75
567,6202,6016,0,6016,3224,186
568,6202,6144,1,5888,3307,58
569,6332,6272,1,6016,3391,60
570,6332,6400,1,6144,3477,-68
571,6457,6272,0,6272,3564,185
572,6457,6400,1,6144,3644,57
573,6579,6528,1,6272,3726,51
574,6579,6656,1,6400,3809,-77
575,6697,6528,0,6528,3893,169
576,6697,6656,1,6400,3971,41
577,6811,6784,1,6528,4050,27
578,6811,6912,1,6656,4131,-101
579,6920,6784,0,6784,4213,136
580,6920,6912,1,6656,4289,8
581,7026,7040,1,6784,4366,-14
582,7127,6912,0,6912,4445,215
583,7127,7040,1,6784,4518,87
584,7224,7168,1,6912,4592,56
585,7224,7296,1,7040,4668,-72
586,7316,7168,0,7168,4746,148
587,7316,7296,1,7040,4817,20
588,7405,7424,1,7168,4890,-19
589,7405,7296,0,7296,4965,109
590,7488,7424,1,7168,5033,64
591,7488,7552,1,7296,5103,-64
592,7567,7424,0,7424,5175,143
593,7567,7552,1,7296,5241,15
594,7642,7680,1,7424,5309,-38
595,7642,7552,0,7552,5379,90
596,7712,7680,1,7424,5442,32
597,7712,7808,1,7552,5507,-96
598,7778,7680,0,7680,5574,98
599,7778,7808,1,7552,5635,-30
600,7838,7680,0,7680,5698,158
601,7838,7808,1,7552,5755,30
602,7894,7936,1,7680,5815,-42
603,7894,7808,0,7808,5877,86
604,7946,7936,1,7680,5933,10
605,7946,8064,1,7808,5991,-118
606,7992,7936,0,7936,6051,56
607,7992,8064,1,7808,6105,-72
608,8034,7936,0,7936,6162,98
609,8034,8064,1,7808,6213,-30
610,8070,7936,0,7936,6266,134
611,8070,8064,1,7808,6314,6
612,8102,8192,1,7936,6364,-90
613,8102,8064,0,8064,6417,38
614,8129,8192,1,7936,6464,-63
615,8129,8064,0,8064,6514,65
616,8152,8192,1,7936,6558,-40
617,8152,8064,0,8064,6605,88
618,8169,8192,1,7936,6646,-23
619,8169,8064,0,8064,6690,105
620,8181,8192,1,7936,6728,-11
621,8181,8064,0,8064,6769,117
622,8189,8192,1,7936,6805,-3
623,8191,8064,0,8064,6844,127
624,8191,8192,1,7936,6878,-1
625,8189,8064,0,8064,6915,125
626,8189,8192,1,7936,6946,-3
627,8181,8064,0,8064,6980,117
628,8181,8192,1,7936,7009,-11
629,8169,8064,0,8064,7041,105
630,8169,8192,1,7936,7068,-23
631,8152,8064,0,8064,7099,88
632,8152,8192,1,7936,7125,-40
633,8129,8064,0,8064,7154,65
634,8129,8192,1,7936,7178,-63
635,8102,8064,0,8064,7205,38
636,8102,8192,1,7936,7227,-90
637,8070,8064,0,8064,7253,6
638,8070,8192,1,7936,7274,-122
639,8034,8064,0,8064,7298,-30
640,8034,7936,0,7936,7317,98
641,7992,8064,1,7808,7332,-72
642,7992,7936,0,7936,7350,56
643,7946,8064,1,7808,7364,-118
644,7946,7936,0,7936,7381,10
645,7894,8064,1,7808,7394,-170
646,7894,7936,0,7936,7410,-42
647,7838,7808,0,7808,7422,30
648,7838,7936,1,7680,7430,-98
649,7778,7808,0,7808,7441,-30
650,7778,7680,0,7680,7448,98
651,7712,7808,1,7552,7451,-96
652,7712,7680,0,7680,7458,32
653,7642,7808,1,7552,7460,-166
654,7642,7680,0,7680,7466,-38
655,7567,7552,0,7552,7468,15
656,7567,7680,1,7424,7466,-113
657,7488,7552,0,7552,7468,-64
658,7488,7424,0,7424,7466,64
659,7405,7552,1,7296,7460,-147
660,7405,7424,0,7424,7458,-19
661,7316,7296,0,7296,7452,20
662,7316,7424,1,7168,7443,-108
663,7224,7296,0,7296,7438,-72
664,7224,7168,0,7168,7429,56
665,7127,7296,1,7040,7416,-169
666,7026,7168,0,7168,7408,-142
667,7026,7040,0,7040,7396,-14
668,6920,6912,0,6912,7380,8
669,6920,7040,1,6784,7361,-120
670,6811,6912,0,6912,7346,-101
671,6811,6784,0,6784,7328,27
672,6697,6912,1,6656,7307,-215
673,6697,6784,0,6784,7290,-87
674,6579,6656,0,6656,7270,-77
675,6579,6528,0,6528,7246,51
676,6457,6656,1,6400,7219,-199
677,6457,6528,0,6528,7197,-71
678,6332,6400,0,6400,7172,-68
679,6332,6272,0,6272,7143,60
680,6202,6400,1,6144,7111,-198
681,6202,6272,0,6272,7084,-70
682,6069,6144,0,6144,7054,-75
683,6069,6016,0,6016,7021,53
684,5932,6144,1,5888,6985,-212
685,5932,6016,0,6016,6954,-84
686,5792,5888,0,5888,6920,-96
687,5792,5760,0,5760,6883,32
688,5648,5888,1,5632,6843,-240
689,5648,5760,0,5760,6809,-112
690,5501,5632,0,5632,6772,-131
691,5501,5504,0,5504,6732,-3
692,5350,5376,0,5376,6689,-26
693,5350,5248,0,5248,6643,102
694,5196,5376,1,5120,6595,-180
695,5196,5248,0,5248,6552,-52
696,5039,5120,0,5120,6507,-81
697,5039,4992,0,4992,6459,47
698,4879,5120,1,4864,6409,-241
699,4879,4992,0,4992,6364,-113
700,4716,4864,0,4864,6317,-148
701,4716,4736,0,4736,6267,-20
702,4551,4608,0,4608,6215,-57
703,4551,4480,0,4480,6160,71
704,4382,4608,1,4352,6103,-226
